********************************************************************************
product = WebSphere Application Server 19.0.0.3 (wlp-1.0.26.cl190320190321-1636)
wlp.install.dir = /opt/ibm/wlp/
server.config.dir = /home/default/app/mc-target/liberty/wlp/usr/servers/defaultServer/
java.home = /home/default/java/jre
java.version = 1.8.0_221
java.runtime = Java(TM) SE Runtime Environment (8.0.5.40 - pxa6480sr5fp40-20190807_01(SR5 FP40))
os = Linux (4.9.184-linuxkit; amd64) (en_US)
process = 319@ae08c72be9da
********************************************************************************
[9/21/19 15:25:03:520 UTC] 00000051 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:03:559 UTC] 00000051 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:03:599 UTC] 00000051 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:03:644 UTC] 00000051 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:03:688 UTC] 00000051 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:03:725 UTC] 0000004b SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:03:767 UTC] 0000004b SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:03:842 UTC] 0000005a SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:03:947 UTC] 00000049 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:04:024 UTC] 00000052 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:04:114 UTC] 00000042 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:04:211 UTC] 0000004a SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:04:323 UTC] 00000049 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:04:406 UTC] 00000035 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:04:504 UTC] 00000051 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:04:612 UTC] 0000005c SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:04:707 UTC] 0000005a SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:04:812 UTC] 00000059 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:04:912 UTC] 00000037 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:05:016 UTC] 00000058 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:05:109 UTC] 00000042 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:05:210 UTC] 00000041 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:05:311 UTC] 00000037 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:05:416 UTC] 00000052 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:05:533 UTC] 0000005f SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:05:613 UTC] 00000056 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:05:709 UTC] 0000005a SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:05:817 UTC] 00000037 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:05:923 UTC] 00000051 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:06:015 UTC] 0000004b SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:06:115 UTC] 0000004a SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:06:221 UTC] 00000052 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:06:318 UTC] 0000004b SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:06:418 UTC] 00000056 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:06:553 UTC] 00000033 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:06:635 UTC] 00000059 SystemOut                                                    O shouldIAttackCreature
[9/21/19 15:25:06:637 UTC] 00000059 SystemOut                                                    O Main Player HP: 100
